,Country,year,Ewltp (g/km) mean,Ewltp (g/km) sum,Erwltp (g/km) mean
83,SK,2017,173.88416160388823,2862133.3000000003,1.5321428571428573
84,AT,2018,156.76780290345513,53367209.0,1.9069717402082302
85,BE,2018,152.70584322009537,82337310.9,1.7844157379263763
86,BG,2018,163.32673551959115,4601894.100000001,1.973495670995671
87,CY,2018,159.35061118946874,2033632.5,1.8471428571428572
88,CZ,2018,167.82155696697546,24890286.4,1.8209532538955089
89,DE,2018,163.81901993623077,549135770.9,1.8776300435194466
90,DK,2018,139.70559689994866,29923541.8,1.9455923330917293
91,EE,2018,168.65554670308825,4445422.9,1.5152347826086956
92,ES,2018,150.5142570518373,207650221.6,1.702387870023445
93,FI,2018,149.18400824735153,17292813.5,2.0507190822607724
94,FR,2018,142.8346139524781,331428010.5,1.7975763246263874
95,GB,2018,157.00397343439667,339993203.5,1.8026163136919577
96,GR,2018,142.8989347188761,14769033.6,1.7321843003412971
97,HR,2018,148.65690477377333,8946618.5,1.706938559322034
98,HU,2018,161.51945517145117,20829225.9,1.728698224852071
99,IE,2018,146.61408810824545,18463991.8,1.8642990126939352
100,IS,2018,150.74939399262252,2574648.9,1.6586938775510207
101,IT,2018,147.33173108090367,287263873.3,1.834121850620284
102,LT,2018,163.08980170864726,5173371.6,1.8246655791190864
103,LU,2018,167.80432462415362,8773145.7,1.9035224969598703
104,LV,2018,164.42997084548105,2537976.6,1.7625888324873098
105,MT,2018,141.7120341207349,1079845.7,1.725035460992908
106,NL,2018,134.72141138986512,55391381.9,1.888145669117971
107,PL,2018,163.73340108865887,83531705.5,1.8275159235668792
108,PT,2018,135.7700842087747,31004592.2,1.8988219553176926
109,RO,2018,155.99554732594777,19755744.1,1.6707681365576104
110,SE,2018,155.8510567397091,53691156.6,2.086642212920209
111,SI,2018,154.10402538047148,9811957.4,1.816587112171838
112,SK,2018,165.19786590018825,12989177.8,1.7294541484716157
113,AT,2019,116.51665260586525,27760209.0,1.4925567762646301
114,BE,2019,117.25731615971672,44771892.0,1.8683609040303704
115,BG,2019,138.7802020376446,3214704.6,1.4196689486052927
116,CY,2019,146.24122530775838,1532461.8,
117,CZ,2019,135.9472985140708,27327990.0,1.6198927509111982
118,DE,2019,113.7941218699713,285477930.8,1.4851999308795576
119,DK,2019,93.09107859915215,16645243.4,1.5689196331416138
120,EE,2019,142.57689550098584,3181746.0,1.291937626739389
121,ES,2019,126.74962304518363,114458205.1,1.5476070377237918
122,FI,2019,98.34614414262887,9355472.0,1.3331218680029855
123,FR,2019,108.87898455647677,193018704.0,1.5206481617406469
124,GR,2019,119.71823976538185,12001514.1,1.4525792353487732
125,HR,2019,128.98675191141575,5870961.0,1.939188233630321
126,HU,2019,133.0029590419993,15327261.0,1.4541756408803097
127,IE,2019,113.04934644615044,11736444.0,1.483324044142236
128,IS,2019,81.59195326641435,991668.6,
129,IT,2019,124.62321620970843,173383918.9,1.4914032837997535
130,LT,2019,135.74446348323687,4198712.0,1.295079122001021
131,LU,2019,124.2927607121894,5082082.4,1.519991239117341
132,LV,2019,142.5735460191982,2019982.0,1.2522166387493021
133,MT,2019,104.22863552926779,511033.0,1.372504159733777
134,NL,2019,95.30524282595829,29950435.0,1.51189832398708
135,NO,2019,28.26306948998814,4861134.9,1.6744359732379026
136,PL,2019,136.21475323044632,58146809.0,1.5258606079017636
137,PT,2019,107.29762287732459,15676290.0,1.5157153720303247
138,RO,2019,126.56235800273032,15296959.4,1.3721310808060247
139,SE,2019,90.27142469022867,26249034.6,1.361122809363058
140,SI,2019,133.9123449885248,6943489.0,1.5737882051972532
141,SK,2019,139.22329556721886,10530989.3,1.3961900793926347
142,AT,2020,116.51665260586525,27760209.0,1.4925567762646301
143,BE,2020,117.25731615971672,44771892.0,1.8683609040303704
144,BG,2020,138.7802020376446,3214704.6,1.4196689486052927
145,CY,2020,146.24122530775838,1532461.8,
146,CZ,2020,135.9472985140708,27327990.0,1.6198927509111982
147,DE,2020,113.7941218699713,285477930.8,1.4851999308795576
148,DK,2020,93.09107859915215,16645243.4,1.5689196331416138
149,EE,2020,142.57689550098584,3181746.0,1.291937626739389
150,ES,2020,126.74962304518363,114458205.1,1.5476070377237918
151,FI,2020,98.34614414262887,9355472.0,1.3331218680029855
152,FR,2020,108.87898455647677,193018704.0,1.5206481617406469
153,GR,2020,119.71823976538185,12001514.1,1.4525792353487732
154,HR,2020,128.98675191141575,5870961.0,1.939188233630321
155,HU,2020,133.0029590419993,15327261.0,1.4541756408803097
156,IE,2020,113.04934644615044,11736444.0,1.483324044142236
157,IS,2020,81.59195326641435,991668.6,
158,IT,2020,124.62321620970843,173383918.9,1.4914032837997535
159,LT,2020,135.74446348323687,4198712.0,1.295079122001021
160,LU,2020,124.2927607121894,5082082.4,1.519991239117341
161,LV,2020,142.5735460191982,2019982.0,1.2522166387493021
162,MT,2020,104.22863552926779,511033.0,1.372504159733777
163,NL,2020,95.30524282595829,29950435.0,1.51189832398708
164,NO,2020,28.26306948998814,4861134.9,1.6744359732379026
165,PL,2020,136.21475323044632,58146809.0,1.5258606079017636
166,PT,2020,107.29762287732459,15676290.0,1.5157153720303247
167,RO,2020,126.56235800273032,15296959.4,1.3721310808060247
168,SE,2020,90.27142469022867,26249034.6,1.361122809363058
169,SI,2020,133.9123449885248,6943489.0,1.5737882051972532
170,SK,2020,139.22329556721886,10530989.3,1.3961900793926347
171,AT,2021,116.51665260586525,27760209.0,1.4925567762646301
172,BE,2021,117.25731615971672,44771892.0,1.8683609040303704
173,BG,2021,138.7802020376446,3214704.6,1.4196689486052927
174,CY,2021,146.24122530775838,1532461.8,
175,CZ,2021,135.9472985140708,27327990.0,1.6198927509111982
176,DE,2021,113.7941218699713,285477930.8,1.4851999308795576
177,DK,2021,93.09107859915215,16645243.4,1.5689196331416138
178,EE,2021,142.57689550098584,3181746.0,1.291937626739389
179,ES,2021,126.74962304518363,114458205.1,1.5476070377237918
180,FI,2021,98.34614414262887,9355472.0,1.3331218680029855
181,FR,2021,108.87898455647677,193018704.0,1.5206481617406469
182,GR,2021,119.71823976538185,12001514.1,1.4525792353487732
183,HR,2021,128.98675191141575,5870961.0,1.939188233630321
184,HU,2021,133.0029590419993,15327261.0,1.4541756408803097
185,IE,2021,113.04934644615044,11736444.0,1.483324044142236
186,IS,2021,81.59195326641435,991668.6,
187,IT,2021,124.62321620970843,173383918.9,1.4914032837997535
188,LT,2021,135.74446348323687,4198712.0,1.295079122001021
189,LU,2021,124.2927607121894,5082082.4,1.519991239117341
190,LV,2021,142.5735460191982,2019982.0,1.2522166387493021
191,MT,2021,104.22863552926779,511033.0,1.372504159733777
192,NL,2021,95.30524282595829,29950435.0,1.51189832398708
193,NO,2021,28.26306948998814,4861134.9,1.6744359732379026
194,PL,2021,136.21475323044632,58146809.0,1.5258606079017636
195,PT,2021,107.29762287732459,15676290.0,1.5157153720303247
196,RO,2021,126.56235800273032,15296959.4,1.3721310808060247
197,SE,2021,90.27142469022867,26249034.6,1.361122809363058
198,SI,2021,133.9123449885248,6943489.0,1.5737882051972532
199,SK,2021,139.22329556721886,10530989.3,1.3961900793926347
